CODE,Omschrijving
03419200-2,Mijnhout
03420000-0,Gomsoorten
03421000-7,Balsems
03422000-4,Lak
03430000-3,Kurk
03431000-0,Natuurkurk
03432000-7,Mandenwerk
03432100-8,Vlechtwerk
03440000-6,Bosbouwproducten
03441000-3,"Sierplanten, grassen, mossen of korstmossen"
03450000-9,Boomkwekerijproducten
03451000-6,Planten
03451100-7,Tuinplanten
03451200-8,Bloembollen
03451300-9,Heesters
03452000-3,Bomen
03460000-2,Pulp
03461000-9,Houtpulp
03461100-0,Houtcellulose
09000000-3,"Aardolieproducten, brandstof, elektriciteit en andere energiebronnen"
09100000-0,Brandstoffen
09110000-3,Vaste brandstoffen
09111000-0,Steenkool en brandstoffen op basis van steenkool
09111100-1,Steenkool
09111200-2,Brandstoffen op basis van steenkool
09111210-5,Antraciet
09111220-8,Briketten
09111300-3,Fossiele brandstoffen
09111400-4,Brandstoffen op basis van hout
09112000-7,Bruinkool en turf
09112100-8,Bruinkool
09112200-9,Turf
09113000-4,Cokes
09120000-6,Gasvormige brandstoffen
09121000-3,"Steenkoolgas, leidinggas of soortgelijke gassen"
09121100-4,Steenkoolgas of soortgelijke gassen
09121200-5,Leidinggas
09122000-0,Propaan en butaan
09122100-1,Propaangas
09122110-4,Vloeibaar propaangas
09122200-2,Butaangas
09122210-5,Vloeibaar butaangas
09123000-7,Aardgas
09130000-9,Aardolie en aardoliedistillaten
09131000-6,Luchtvaartkerosine
09131100-7,Reactiemotorbrandstof van het kerosinetype
09132000-3,Benzine
09132100-4,Loodvrije benzine
09132200-5,Gelode benzine
09132300-6,Ethanolhoudende benzine
09133000-0,Vloeibaar petroleumgas (lpg)
09134000-7,Gasolie
09134100-8,Dieselolie
09134200-9,Dieselbrandstof
09134210-2,"Dieselbrandstof (0,2)"
09134220-5,Dieselbrandstof (EN 590)
09134230-8,Biodiesel
09134231-5,Biodiesel (B20)
09134232-2,Biodiesel (B100)
09135000-4,Stookoliën
09135100-5,Stookolie
09135110-8,Stookoliën met een laag zwavelgehalte
09200000-1,"Aardolie, steenkool en olieproducten"
09210000-4,Preparaten voor smering
09211000-1,Smeerolie en smeermiddelen
09211100-2,Motorolie
09211200-3,Compressorolie
09211300-4,Turbineolie
09211400-5,Versnellingsbakolie
09211500-6,Olie voor overbrenging
09211600-7,Olie voor gebruik in hydraulische installaties en voor andere doeleinden
09211610-0,Vloeistoffen voor hydraulische installaties
09211620-3,Olie voor het insmeren van vormen
09211630-6,Corrosiewerende olie
09211640-9,Olie voor elektrische isolatie
09211650-2,Remvloeistoffen
09211700-8,White oils en paraffinum liquidum
09211710-1,White oils
09211720-4,Paraffinum liquidum
09211800-9,Aardoliën en -samenstellingen
09211810-2,Lichte oliën
09211820-5,Minerale oliën
09211900-0,Smeeroliën voor tractie
09220000-7,"Vaseline, was en lichte oliën"
09221000-4,Vaseline en was
09221100-5,Vaseline
09221200-6,Paraffinewas
09221300-7,Slack-wax
09221400-8,Petroleumresiduen
09222000-1,Speciale distillatieproducten
09222100-2,Terpentine
09230000-0,Ruwe aardolie
09240000-3,Olie en steenkoolproducten
09241000-0,Bitumineuze leisteen
09242000-7,Steenkoolproducten
09242100-8,Koololie
09300000-2,"Elektriciteit, verwarming, zonne- en kernenergie"
09310000-5,Elektriciteit
09320000-8,"Stoom, warm water en aanverwante producten"
09321000-5,Warm water
09322000-2,Stoom
09323000-9,Stadsverwarming
