CODE,Omschrijving
30173000-2,Etiketteermachines
30174000-9,Etikettenprinters
30175000-6,Beletteringsapparatuur
30176000-3,Lettertang
30177000-0,Automatische labelsystemen
30178000-7,Halfautomatische labelsystemen
30179000-4,Labeldispensers
30180000-4,Machines voor het schrijven en endosseren van cheques
30181000-1,Machines voor het endosseren van cheques
30182000-8,Machines voor het schrijven van cheques
30190000-7,"Diverse machines, uitrusting en benodigdheden voor kantoor"
30191000-4,"Kantooruitrusting, uitgez. meubilair"
30191100-5,Archiefuitrusting
30191110-8,Kaartcarrouselsystemen
30191120-1,Tijdschriftenstandaards
30191130-4,Klemborden
30191140-7,Toebehoren voor persoonsidentificatie
30191200-6,Overheadprojectoren
30191400-8,Papierversnipperaars
30192000-1,Kantoorbenodigdheden
30192100-2,Vlakgommen
30192110-5,Inktproducten
30192111-2,Stempelkussens
30192112-9,Inktcassettes voor drukmachines
30192113-6,Inktcassettes
30192121-5,Balpennen
30192122-2,Vulpennen
30192123-9,Viltschrijvers
30192124-6,Viltstiften
30192125-3,Markeerstiften
30192126-0,Technische pennen
30192127-7,Penhouders
30192130-1,Potloden
30192131-8,Vulpotloden
30192132-5,Stiften voor vulpotlood
30192133-2,Puntenslijpers
30192134-9,Potloodhouders
30192150-7,Datumstempels
30192151-4,Zegelstempels
30192152-1,Numeroteurs
30192153-8,Tekststempels
30192154-5,Vullingen voor stempelkussens
30192155-2,Stempelhangers voor kantoor
30192160-0,Correctiemateriaal
30192170-3,Prikborden
30192200-3,Meetlinten
30192300-4,Inktlinten
30192310-7,Schrijfmachinelinten
30192320-0,Printerlinten
30192330-3,Linten en trommels voor rekenmachines
30192340-6,Faxlinten
30192350-9,Linten voor kasregister
30192400-5,Reprografiebenodigdheden
30192500-6,Transparanten voor overheadprojector
30192600-7,Tekenborden
30192700-8,Kleine kantoorbenodigdheden
30192800-9,Zelfklevende labels
30192900-0,Correctiemiddelen
30192910-3,Correctiefilm of -band
30192920-6,Correctievloeistof
30192930-9,Correctiepennen
30192940-2,Vullingen voor correctiepennen
30192950-5,Elektrische radeermachines
30193000-8,Organisers en toebehoren
30193100-9,Bureauladeorganisers
30193200-0,Bureauorganisers
30193300-1,Wandsorteerrekjes
30193400-2,Boekensteunen
30193500-3,Documentatierekken
30193600-4,Agenda- of kalenderhouders
30193700-5,Opbergdozen voor dossiers
30193800-6,Berichtenhouders
30193900-7,Concepthouders
30194000-5,Tekenbenodigdheden
30194100-6,Tekenmallen
30194200-7,"Dubbelzijdig klevende rondjes, tekenplakband en -film"
30194210-0,Dubbelzijdig klevende rondjes of tekenplakband
30194220-3,Tekenfilm
30194300-8,"Tekendozen, -sets en -papier"
30194310-1,Tekendozen of -sets
30194320-4,Ontwerppapier
30194400-9,Afdekking voor tekentafel
30194500-0,Beletteringshulpmiddelen
30194600-1,Gradenbogen
30194700-2,Sjablonen
30194800-3,Tekenhaken en driehoeken
30194810-6,Tekenhaken
30194820-9,Driehoeken
30194900-4,Afdekhoezen voor werkblad
30195000-2,Borden
30195100-3,Planborden of toebehoren
30195200-4,Elektronische copyboards of toebehoren
30195300-5,Letterborden of toebehoren
30195400-6,Droog uitwisbare borden of toebehoren
30195500-7,Schoolborden of toebehoren
30195600-8,Mededelingenborden of toebehoren
30195700-9,Bordreinigingskits of toebehoren
30195800-0,Ophangrails of houders
30195900-1,Witte schrijfborden en magneetborden
30195910-4,Witte schrijfborden
30195911-1,Toebehoren voor witte schrijfborden
30195912-8,Standaards voor witte schrijfborden
30195913-5,Standaards voor flipovers
30195920-7,Magneetborden
30195921-4,Wissers voor magneetborden
30196000-9,Planningsystemen
30196100-0,Vergaderingsplanners
30196200-1,Afsprakenboeken of navullingen
30196300-2,Ideeënbus
30197000-6,Kleine kantooruitrusting
30197100-7,"Nieten, nagels, punaises"
30197110-0,Nieten
30197120-3,Kopspijkers
30197130-6,Punaises
30197200-8,Ringmappen en paperclips
30197210-1,Ringmappen
30197220-4,Paperclips
30197221-1,Papercliphouder
30197300-9,"Briefopeners, nietapparaten en perforators"
30197310-2,Briefopeners
30197320-5,Nietapparaten
30197321-2,Nietjesverwijderaars
30197330-8,Perforators
30197400-0,Zegelbevochtiger
30197500-1,Zegelwas
30197510-4,Toebehoren voor zegelwas
30197600-2,Bewerkt papier en karton
30197610-5,Samengesteld papier en karton
30197620-8,Schrijfpapier
30197621-5,Flipoverblokken
30197630-1,Drukpapier
30197640-4,Contact- of ander kopieerpapier
30197641-1,Thermografisch papier
30197642-8,Fotokopieer- en xerografisch papier
30197643-5,Fotokopieerpapier
30197644-2,Xerografisch papier
30197645-9,Printkarton
30198000-3,Loterijmachines
30198100-4,Trek- en fruitautomaten
30199000-0,Kantoorbenodigdheden van papier en andere artikelen
30199100-1,"Carbonpapier, contactpapier, stencilpapier en doorschrijfpapier zonder carbon"
30199110-4,Carbonpapier
30199120-7,Contactpapier
30199130-0,Doorschrijfpapier zonder carbon
30199140-3,Stencilpapier
30199200-2,"Enveloppen, postbladen en blanco briefkaarten"
30199210-5,Postbladen
30199220-8,Blanco briefkaarten
30199230-1,Enveloppen
30199240-4,Correspondentieset
30199300-3,Gegaufreerd of geperforeerd papier
30199310-6,Gegaufreerd of geperforeerd drukpapier
30199320-9,Gegaufreerd of geperforeerd schrijfpapier
30199330-2,Kettingpapier voor printers
30199340-5,Kettingformulieren
30199400-4,Gegomd of zelfklevend papier
30199410-7,Zelfklevend papier
30199500-5,"Archiefdozen, brievenbakjes, voorraaddozen en soortgelijke artikelen"
30199600-6,Tussenbladen voor kantoorbehoeften
30199700-7,"Gedrukt kantoormateriaal, met uitzondering van formulieren"
30199710-0,Gedrukte enveloppen
30199711-7,Gedrukte vensterenveloppen
30199712-4,Gedrukte vensterloze enveloppen
30199713-1,Gedrukte omslagen voor röntgenfoto's
30199720-3,Notitiepapier
30199730-6,Visitekaartjes
30199731-3,Visitekaarthouders
30199740-9,Wensstrookjes
30199750-2,Bonnen
30199760-5,Labels
30199761-2,Streepjescodelabels
30199762-9,Bagagelabels
30199763-6,Antidiefstallabels
30199770-8,Maaltijdcheques
30199780-1,Vloeiblokken
30199790-4,Dienstregelingen
30199791-1,Wandplankalenders
30199792-8,Kalenders
30199793-5,Agendahouders
30200000-1,Computeruitrusting en -benodigdheden
30210000-4,Machines voor dataprocessing (hardware)
30211000-1,Mainframecomputer
30211100-2,Supercomputer
30211200-3,Mainframehardware
30211300-4,Computerplatforms
30211400-5,Computerconfiguraties
30211500-6,Centrale verwerkingseenheden (CPU) of processors
30212000-8,Hardware voor minicomputer
30212100-9,Centrale verwerkingseenheden voor minicomputer
30213000-5,Personal computers
30213100-6,Draagbare computers
30213200-7,Tablet-pc's
30213300-8,Desktop computers
30213400-9,Centrale verwerkingseenheden voor pc's
30213500-0,Zakcomputers
30214000-2,Werkstations
30215000-9,Hardware voor microcomputer
30215100-0,Centrale verwerkingseenheden voor microcomputer
30216000-6,Magnetische of optische leeseenheden
30216100-7,Optische leeseenheden
30216110-0,Scanners voor computergebruik
30216120-3,Optische tekenherkenningsuitrusting
30216130-6,Streepjescodelezers
30216200-8,Magneetkaartlezers
30216300-9,Ponskaartlezers
30220000-7,Digitalecartografie-uitrusting
30221000-4,Digitale kadasterkaarten
30230000-0,Computerapparatuur
30231000-7,Computerschermen en -consoles
30231100-8,Computerterminals
30231200-9,Consoles
30231300-0,Beeldschermen
30231310-3,Platte beeldschermen
30231320-6,Touchscreenmonitors
30232000-4,Randapparatuur
30232100-5,Printers en plotters
30232110-8,Laserprinters
30232120-1,Matrixprinters
30232130-4,Grafische kleurenprinters
30232140-7,Plotters
30232150-0,Inkjetprinters
30232600-0,Encoders
30232700-1,Centrale besturingseenheid
30233000-1,Geheugendragers en lezerapparaten
30233100-2,Geheugeneenheden
30233110-5,Magneetkaartgeheugeneenheden
30233120-8,Magneetbandgeheugeneenheden
30233130-1,Magneetschijfgeheugeneenheden
30233131-8,Diskettebesturingseenheden
30233132-5,Hardeschijfeenheden
30233140-4,Direct toegankelijke geheugeneenheden
30233141-1,Redundant Array of Independent Disk (RAID)
30233150-7,Optischeschijfeenheden
30233151-4,Cd-speler en/of -brander
30233152-1,Dvd-speler en/of -brander
30233153-8,Cd/dvd-speler en/of -brander
30233160-0,Tape streamers
30233161-7,Cassettesystemen
30233170-3,Carrouseleenheden
30233180-6,Flashgeheugenopslagmedia
30233190-9,Magneetschijfbesturingseenheid
30233300-4,Smartcardlezers
30233310-7,Vingerafdrukscanners
30233320-0,Gecombineerde vingerafsrukscanner/smartcardlezer
30234000-8,Geheugenmedia
30234100-9,Magneetschijven
30234200-0,Optische schijven
30234300-1,Compact disks (cd's)
30234400-2,Digital versatile discs (dvd's)
30234500-3,Geheugenopslagmedia
30234600-4,Flashgeheugen
30234700-5,Magneetbanden
30236000-2,Diverse computeruitrusting
30236100-3,Geheugenuitbreidingsuitrusting
30236110-6,Willekeurig toegankelijk geheugen (RAM)
30236111-3,Dynamisch willekeurig toegankelijk geheugen (DRAM)
30236112-0,Statisch willekeurig toegankelijk geheugen (SRAM)
30236113-7,Synchroon dynamisch willekeurig toegankelijk geheugen (SDRAM)
30236114-4,Rambus dynamisch willekeurig toegankelijk geheugen (RDRAM)
30236115-1,Synchroon grafisch random access memory (SGRAM)
30236120-9,Read-only memory (ROM)
30236121-6,Programmeerbaar enkel uitleesbaar geheugen (PROM)
30236122-3,Uitwisbaar en programmeerbaar geheugen (EPROM)
30236123-0,Read-onlygeheugen (EEPROM)
30236200-4,Gegevensverwerkingsuitrusting
30237000-9,"Onderdelen, toebehoren en benodigdheden voor computers"
30237100-0,Computeronderdelen
30237110-3,Netwerkinterfaces
30237120-6,Computerpoorten
30237121-3,Seriële infraroodpoorten
30237130-9,Computerkaarten
30237131-6,Elektronische kaarten
30237132-3,Universele Seriële Bus/USB-interfaces
30237133-0,Adapters en interfaces voor Personal Computer Memory Card International Association (PCMCIA)
30237134-7,Grafische acceleratiekaarten
30237135-4,Netwerkinterfacekaarten
30237136-1,Audiokaarten
30237140-2,Moederborden
30237200-1,Computertoebehoren
30237210-4,Antireflexschermen
30237220-7,Muismatjes
30237230-0,Voorgeheugens
30237240-3,Webcamera
30237250-6,Toebehoren voor computerreiniging
30237251-3,Computerreinigingskits
30237252-0,Hogedrukluchtverstuivers
30237253-7,Stofhoezen voor computerapparatuur
30237260-9,Monitorarmen voor wandmontage
30237270-2,Draagtassen voor laptop
30237280-5,Toebehoren voor stroomvoorziening
30237290-8,Polssteunen voor toetsenbord
30237295-3,Toestenbordhoezen
30237300-2,Computerbenodigdheden
30237310-5,Lettertypecartridges voor printers
30237320-8,Diskettes
30237330-1,DAT-cassettes
30237340-4,DLT-cartridges
30237350-7,Datacartridges
30237360-0,LTO-cartridges
30237370-3,Opnamecassettes
30237380-6,Cd-rom
30237400-3,Toebehoren voor gegevensinvoer
30237410-6,Computermuis
30237420-9,Joysticks
30237430-2,Lichtpennen
30237440-5,Volgbollen
30237450-8,Grafische tabletten
30237460-1,Computertoetsenborden
30237461-8,Programmeerbare toetsenborden
30237470-4,Brailletoetsenborden
30237475-9,Elektrische sensoren
30237480-7,Invoereenheden
30238000-6,Automatiseringsuitrusting voor bibliotheek
31000000-6,"Elektrische machines, apparaten, uitrusting en verbruiksartikelen; verlichting"
31100000-7,"Elektromotoren, elektrische generatoren en elektrische transformatoren"
31110000-0,Elektromotoren
31111000-7,Adapters
31120000-3,Generatoren
31121000-0,Generatoraggregaatsets
31121100-1,Generatoraggregaten met motoren met compressieontsteking
31121110-4,Vermogensomzetters
31121111-1,Elektrische draaiomvormers
31121200-2,Generatoraggregaten met motoren met vonkontsteking
31121300-3,Windenergiegeneratoren
31121310-6,Windmolens
31121320-9,Windturbines
31121330-2,Windturbinegeneratoren
31121331-9,Turbinerotoren
31121340-5,Windpark
31122000-7,Generatoraggregaten
31122100-8,Brandstofcellen
31124000-1,Stoomturbinegenerator en bijbehorende apparatuur
31124100-2,Turbinegeneratorsets
31124200-3,Besturingapparatuur voor turbinegenerator
31126000-5,Dynamo's
31127000-2,Noodgenerator
31128000-9,Turbogenerator
31130000-6,Wisselstroomdynamo's
31131000-3,Eenfasemotoren
31131100-4,Aandrijvers
31131200-5,Anodes
31132000-0,Meerfasenmotoren
31140000-9,Koeltorens
31141000-6,Waterkoelers
31150000-2,Voorschakeltoestellen voor ontladingslampen en -buizen
31151000-9,Statische omvormers
31153000-3,Gelijkrichters
31154000-0,Onderbrekingsvrije stroomvoorziening
31155000-7,Wisselrichters
31156000-4,Onderbreekbare stroomvoorziening
31157000-1,Inductoren
31158000-8,Laders
31158100-9,Acculaders
31158200-0,Drukvulling
31158300-1,Turbocompressor
31160000-5,"Delen van elektromotoren, elektrische generatoren en elektrische transformatoren"
31161000-2,Delen van elektromotoren en elektrische generatoren
31161100-3,Bekrachtigingssystemen
31161200-4,Gaskoelingssystemen
31161300-5,Generatorrotoren
31161400-6,Hoofdwatersystemen
31161500-7,Systemen met afdichtingsolie
31161600-8,Koelwatersystemen voor stators
31161700-9,Delen van stoomgeneratoren
31161800-0,Delen van gasgeneratoren
31161900-1,Spanningsregelsystemen
31162000-9,"Delen van transformatoren, inductoren en statische omzetters"
31162100-0,Delen van condensors
31170000-8,Transformatoren
31171000-5,Diëlektrische vloeistoftransformatoren
31172000-2,Spanningstransformatoren
31173000-9,Meettransformator
31174000-6,Transformatoren voor stroomvoorziening
31200000-8,Distributie- en regelinstallaties voor elektriciteit
31210000-1,Elektrische apparatuur voor het schakelen of voor het beveiligen van stroomkringen
31211000-8,Panelen en zekeringkasten
31211100-9,Verdeelpanelen
31211110-2,Controlepanelen
31211200-0,Zekeringkasten
31211300-1,Zekeringen
31211310-4,Stroomonderbrekers
31211320-7,Zekeringsblokken
31211330-0,Smeltzekeringen
31211340-3,Zekeringklemmen
31212000-5,Stroomschakelaars
31212100-6,Stroomonderbrekers voor bovengronds gebruik
31212200-7,Schakelingtesters
31212300-8,Magnetische schakelaars
31212400-9,Miniatuurschakelaars
31213000-2,Distributie-uitrusting
31213100-3,Verdeelkasten
31213200-4,Verdeeltransformatoren
31213300-5,Kabelverdeelkast
31213400-6,Distributiesysteem
31214000-9,Schakelapparatuur
31214100-0,Schakelaars
31214110-3,Isolatieschakelaars
31214120-6,Aardschakelaar
31214130-9,Veiligheidsschakelaars
31214140-2,Dimmerschakelaars
31214150-5,Walsschakelaars
31214160-8,Drukschakelaars
31214170-1,Tuimelschakelaars
31214180-4,Schuifschakelaars
31214190-7,Eindschakelaars
31214200-1,Lastschakelaar
31214300-2,Schakelinstallaties voor buiten
31214400-3,Smeltzekeringsschakelaar
31214500-4,Elektrische schakelborden
31214510-7,Verdeelschakelbord
31214520-0,Middenspanningsschakelborden
31215000-6,Spanningsbegrenzers
31216000-3,Overspanningsafleiders
31216100-4,Bliksembeveiligingsuitrusting
31216200-5,Bliksemafleiders
31217000-0,Stootspanningsbegrenzers
31218000-7,Verzamelrails
31219000-4,Beveiligingsdozen
31220000-4,Onderdelen van stroomkringen
31221000-1,Relais
31221100-2,Vermogensrelais
31221200-3,Universele relais
31221300-4,Insteekrelais
31221400-5,Wisselstroomrelais
31221500-6,Kwikrelais
31221600-7,Tijdrelais
31221700-8,Overbelastingsrelais
31223000-5,Fittingen
31224000-2,Verbindingen en contactelementen
31224100-3,Stekkers en contactdozen
31224200-4,Coaxiale aansluitstekkers
31224300-5,Aansluitdozen
31224400-6,Aansluitkabels
31224500-7,Terminals
31224600-8,Dimmers
31224700-9,Aftakkasten
31224800-0,Kabelverbindingssets
31224810-3,Verlengsnoeren
31230000-7,Delen van apparatuur voor de distributie of het regelen van elektriciteit
31300000-9,Geïsoleerde kabel en draad
31310000-2,Hoofdleidingen
31311000-9,Hoofdnetaansluitingen
31320000-5,Stroomverdelingskabels
31321000-2,Elektrische leidingen
31321100-3,Bovengrondse elektriciteitsleidingen
31321200-4,Laagspannings- en middenspanningskabels
31321210-7,Laagspanningskabel
31321220-0,Middenspanningskabels
31321300-5,Hoogspanningskabels
31321400-6,Onderwaterkabel
31321500-7,Onderzeese kabel
31321600-8,Afgeschermde kabel
31321700-9,Signaalkabels
31330000-8,Coaxkabel
31340000-1,"Kabeltoebehoren, geïsoleerd"
31341000-8,"Kabelhaspels, geïsoleerd"
31342000-5,"Kabelaansluitingen, geïsoleerd"
31343000-2,"Kabelverbindingen, geïsoleerd"
31344000-9,"Pakkingsdrukkers voor kabel, geïsoleerd"
31350000-4,"Geleiders van elektriciteit, voor gegevensverwerking en regeling"
31351000-1,"Geleiders van elektriciteit, voor toegangscontrolesystemen"
31400000-0,"Accumulatoren, primaire cellen en primaire elementen"
31410000-3,Primaire cellen
31411000-0,Alkalinebatterijen
31420000-6,Primaire batterijen
31421000-3,Loodaccu's
31422000-0,Batterijpacks
31430000-9,Elektrische accumulatoren
31431000-6,Loodzwavelzuuraccu's
31432000-3,Nikkel-cadmiumaccu's
31433000-0,Nikkel-ijzeraccu's
31434000-7,Lithiumaccu's
31440000-2,Accu's/batterijen
31500000-1,Verlichtingsuitrusting en elektrische lampen
31510000-4,Elektrische gloeilampen
31511000-1,Sealed-beam-lampen
31512000-8,Halogeenlampen met wolfraamdraad
31512100-9,"Halogeenlampen, lineair"
31512200-0,Halogeenlampen met twee contactpennen
31512300-1,Koudlichthalogeenlampen
31514000-2,Ontladingslampen
31515000-9,Uv-lampen
31516000-6,Infrarode lampen
31517000-3,Booglampen
31518000-0,Signalisatielichten
31518100-1,Schijnwerpers
31518200-2,Noodverlichtingsuitrusting
31518210-5,Stormlantaarns
31518220-8,Lichtstaven
31518300-3,Daklampen
31518500-5,Kwiklampen
31518600-6,Zoeklichten
31519000-7,Gloeilampen en neonlampen
31519100-8,Gloeilampen
31519200-9,Neonlampen
31520000-7,Lampen en lamparmaturen
31521000-4,Lampen
31521100-5,Bureaulampen
31521200-6,Staande lampen
31521300-7,Draagbare elektrische lampen
31521310-0,Waarschuwingslichten
31521320-3,Zaklampen
31521330-6,Oplaadbare draagbare elektrische lampen
31522000-1,Kerstboomverlichting
31523000-8,Verlichte borden en naamplaten
31523100-9,Reclameneonlampen
31523200-0,Niet-variabele mededelingsborden
31523300-1,Verlichte naamplaten
31524000-5,Plafond- en wandverlichtingsarmaturen
31524100-6,Plafondverlichtingsarmaturen
31524110-9,Lampen voor operatiekamers
31524120-2,Plafondverlichting
31524200-7,Armaturen voor wandlampen
31524210-0,Wandverlichting
31527000-6,Spots
31527200-8,Buitenverlichting
31527210-1,Lantaarns
31527260-6,Verlichtingssystemen
31527270-9,Perronverlichting
31527300-9,Verlichting voor huishoudelijk gebruik
31527400-0,Onderwaterlampen
31530000-0,Delen van lampen en verlichtingstoestellen
31531000-7,Gloeilampen/peertjes
31531100-8,Verlichtingsbuizen
31532000-4,Delen van lampen en verlichtingsarmaturen
31532100-5,Buislampen
31532110-8,Fluorescerende buislampen
31532120-1,Compacte fluorescerende buislampen
31532200-6,Ringvormige lampen
31532210-9,Fluorescerende ringvormige lampen
31532300-7,Bollampen
31532310-0,Compacte fluorescerende bollampen
31532400-8,Lampfittingen
31532500-9,Lampstarters
31532510-2,Starters voor fluorescentielampen
31532600-0,Lampdimmers
31532610-3,Dimmers voor fluorescentielampen
31532700-1,Lampenkappen
31532800-2,Lamparmen
31532900-3,Fluorescentielampen
31532910-6,Fluorescentiebuizen
31532920-9,Gloeilampen en fluorescentielampen
31600000-2,Elektrische uitrusting
31610000-5,Elektrische uitrusting voor motoren en voertuigen
31611000-2,Kabelsets
31612000-9,Elektrische draadbomen voor motoren
31612200-1,Startmotoren
31612300-2,Elektrische signalisatie-uitrusting voor motoren
31612310-5,Knipperlichten
31620000-8,Apparatuur voor hoorbare of zichtbare signalen
31625000-3,Inbraak- en brandalarminstallaties
31625100-4,Branddetectiesystemen
31625200-5,Brandalarmsystemen
31625300-6,Inbraakalarmsystemen
31630000-1,Magneten
31640000-4,Machines en toestellen met een eigen functie
31642000-8,Elektronische detectieapparatuur
31642100-9,Detectieapparatuur voor metalen buizen
31642200-0,Mijndetectieapparatuur
31642300-1,Detectieapparatuur voor kunststoffen
31642400-2,Detectieapparatuur voor niet-metalen voorwerpen
31642500-3,Detectieapparatuur voor hout
31643000-5,Deeltjesversnellers
31643100-6,Lineaire versnellers
31644000-2,Diverse datarecorders
31645000-9,Flipperkasten
31650000-7,Isolerende fittings
31651000-4,Isolatieband
31660000-0,Koolelektroden
31670000-3,Elektrische delen van machines of toestellen
31671000-0,Glazen omhulsels en kathodestraalbuizen
31671100-1,Glazen omhulsels
31671200-2,Kathodestraalbuizen
31680000-6,Elektrische benodigdheden en toebehoren
31681000-3,Elektrische toebehoren
31681100-4,Elektrische contacten
31681200-5,Elektrische pompen
31681300-6,Stroomkringen
31681400-7,Elektrische componenten
31681410-0,Elektrische materialen
31681500-8,Oplaadtoestellen
31682000-0,Elektriciteitsbenodigdheden
31682100-1,Elektriciteitskasten
31682110-4,Afdekplaten voor elektriciteitskasten
31682200-2,Instrumentenborden
31682210-5,Instrumenten- en besturingsuitrusting
31682220-8,Mengpanelen
31682230-1,Grafische beeldschermpanelen
31682300-3,Middenspanningsuitrusting
31682310-6,Middenspanningsborden
31682400-4,Elektrische uitrusting voor bovengrondse installatie
31682410-7,Luchtkabeldragers
31682500-5,Noodstroomuitrusting
31682510-8,Noodstroomsystemen
31682520-1,Noodstopsystemen
31682530-4,Noodstroombenodigdheden
31682540-7,Uitrusting voor onderstation
31700000-3,"Elektronische, elektromechanische en elektrotechnische benodigdheden"
31710000-6,Elektronische uitrusting
31711000-3,Elektronische benodigdheden
31711100-4,Elektronische onderdelen
31711110-7,Zendontvangers
31711120-0,Transductoren
31711130-3,Weerstanden
31711131-0,Elektrische weerstanden
31711140-6,Elektroden
31711150-9,Elektrische condensatoren
31711151-6,Vaste condensatoren
31711152-3,Regelbare of instelbare condensatoren
31711154-0,Condensatorbanken
31711155-7,Condensatornetwerken
31711200-5,Elektronische scoreborden
31711300-6,Elektronische tijdcontrolesystemen
31711310-9,Systeem voor aanwezigheidsregistratie
31711400-7,Kleppen en buizen
31711410-0,Kathodestraalbeeldbuizen
31711411-7,Televisiecamerabuizen
31711420-3,Microgolfbuizen en uitrusting
31711421-0,Magnetrons
31711422-7,Uitrusting voor microgolf
31711423-4,Microgolfradio-uitrusting
31711424-1,Klystrons
31711430-6,Elektronenbuizen
31711440-9,Ontvangerbuizen of versterkerbuizen
31711500-8,Delen van elektronische componenten
31711510-1,Delen van elektrische condensatoren
31711520-4,"Delen van elektrische weerstanden, reostaten en potentiometers"
31711530-7,Delen van elektronenbuizen
31712000-0,Micro-elektronische machines en toestellen en microsystemen
31712100-1,Micro-elektronische machines en toestellen
31712110-4,Elektronisch geïntegreerde schakelingen en microschakelingen
31712111-1,Telefoonkaarten
31712112-8,Simkaarten
31712113-5,Chipkaarten
31712114-2,Geïntegreerde elektronische schakelingen
31712115-9,Microschakelingen
31712116-6,Microprocessors
31712117-3,Pakketten voor geïntegreerde schakelingen
31712118-0,Voetjes of fittingen voor geïntegreerde schakelingen
31712119-7,Afdekkingen voor geïntegreerde schakelingen
31712200-2,Microsystemen
31712300-3,Gedrukte schakelingen
31712310-6,Afgemonteerde printplaten
31712320-9,Niet-afgemonteerde printplaten
31712330-2,Halfgeleiders
31712331-9,Fotovoltaïsche cellen
31712332-6,Thyristors
31712333-3,Diacs
31712334-0,Triacs
31712335-7,Optisch gekoppelde isolatoren
31712336-4,Kristaloscillatoren
31712340-5,Dioden
31712341-2,Lichtdioden
31712342-9,Microgolf- of kleinsignaaldioden
31712343-6,Zenerdioden
31712344-3,Schottkydioden
31712345-0,Tunneldioden
31712346-7,Fotodioden
31712347-4,Vermogens- of zonnedioden
31712348-1,Laserdioden
31712349-8,Radiofrequentiedioden (RF-dioden)
31712350-8,Transistors
31712351-5,Fototransistors
31712352-2,Veldeffecttransistors (FET)
31712353-9,MOS-transistors (MOSFET)
31712354-6,Transistorchips
31712355-3,Bipolaire darlingtontransistors of radiofrequentie (RF)-transistors
31712356-0,Uni-junctietransistors
31712357-7,Bipolaire transistors met geïsoleerde poort (IGBT)
31712358-4,Junctieveldeffecttransistors (JFET)
31712359-1,Bipolaire junctietransistors (BJT)
31712360-1,Gemonteerde piëzo-elektrische kristallen
31720000-9,Elektromechanische uitrusting
31730000-2,Elektrotechnische uitrusting
31731000-9,Elektrotechnische benodigdheden
31731100-0,Modules
32000000-3,"Radio-, televisie-, communicatie-, telecommunicatietoestellen en aanverwante apparatuur"
32200000-5,"Zendapparatuur voor radiotelefonie, radiotelegrafie, radio-omroep en televisie"
32210000-8,Zenduitrusting
32211000-5,Productie-uitrusting voor uitzendingen
32220000-1,Televisietransmissie-installaties zonder ontvanger
32221000-8,Radiobakens
32222000-5,Codeermachines voor videosignalen
32223000-2,Videotransmissieapparatuur
32224000-9,Televisietransmissieapparatuur
32230000-4,Radiotransmissieapparatuur met ontvanger
32231000-1,Toestellen voor gesloten televisiecircuits
32232000-8,Uitrusting voor videoconferentie
32233000-5,Radiofrequentieboosterstations
32234000-2,Televisiecamera's voor gesloten televisiecircuits
32235000-9,Bewakingssysteem met gesloten circuit
32236000-6,Radiotelefoons
32237000-3,Walkietalkies
32240000-7,Televisiecamera's
32250000-0,Mobiele telefoons
32251000-7,Autotelefoons
32251100-8,Handsfree set
32252000-4,Gsm-telefoons
32252100-5,Handsfree mobiele telefoons
32252110-8,Handsfree mobiele telefoons (zonder kabel)
32260000-3,Datatransmissie-uitrusting
32270000-6,Digitale zendapparatuur
32300000-6,"Televisie- en radio-ontvangers, audio- of video-opnameapparatuur of -reproductietoestellen"
32310000-9,Radiotoestellen
32320000-2,Televisie- en audiovisuele uitrusting
32321000-9,Televisieprojectie-uitrusting
32321100-0,Film- en video-uitrusting
32321200-1,Audiovisuele uitrusting
32321300-2,Audiovisuele materialen
32322000-6,Multimedia-uitrusting
32323000-3,Videomonitoren
32323100-4,Kleurenmonitoren
32323200-5,Monochrome videomonitoren
32323300-6,Video-uitrusting
32323400-7,Videoweergave-uitrusting
32323500-8,Videobewakingsuitrusting
32324000-0,Televisieontvangers
32324100-1,Kleurentelevisietoestellen
32324200-2,Zwart-wittelevisietoestellen
32324300-3,Televisie-uitrusting
32324310-6,Satellietantennes
32324400-4,Televisieantennes
32324500-5,Videotuners
32324600-6,Kastjes voor digitale tv
32330000-5,Opname- en weergaveapparatuur voor audio en video
32331000-2,Draaitafels
32331100-3,Platenspelers
32331200-4,Cassettespelers
32331300-5,Apparatuur voor geluidsweergave
32331500-7,Recorders
32331600-8,MP3-speler
32332000-9,Magneetbandrecorders
32332100-0,Dicteerapparaten
32332200-1,Antwoordapparaten
32332300-2,Toestellen voor geluidsopnames
32333000-6,Video-opname- of -weergaveapparatuur
32333100-7,Videorecorders
32333200-8,Videocamcorders
32333300-9,Videoweergaveapparatuur
32333400-0,Videospelers
32340000-8,Microfoons en luidsprekers
32341000-5,Microfoons
32342000-2,Luidsprekers
32342100-3,Koptelefoons
32342200-4,Oortelefoons
32342300-5,Microfoons en luidsprekersets
32342400-6,Akoestische toestellen
32342410-9,Geluidsuitrusting
32342411-6,Minispeakers
32342412-3,Speakers
32342420-2,Mengpaneel voor studio
32342430-5,Spraakcompressiesysteem
32342440-8,Voice-mailsysteem
32342450-1,Stemrecorders
32343000-9,Versterkers
32343100-0,Audiofrequentieversterkers
32343200-1,Megafoons
32344000-6,Ontvangtoestellen voor radiotelefonie of radiotelegrafie
32344100-7,Draagbare ontvangers voor oproepen en boodschappen
32344110-0,Stemregistratiesysteem
32344200-8,Radio-ontvangers
32344210-1,Radio-uitrusting
32344220-4,Semafoonontvangers
32344230-7,Radiostations
32344240-0,Radiotoren
32344250-3,Radio-installaties
